source_path,pack_path,sha256,size_bytes,modified_at
"/Users/yutaro/project-profit-ios/docs/etaxall-multiagent-audit-todo.md","00_todo/etaxall-multiagent-audit-todo.md","96167973ab17f8c0ab084a16ed90841f1f45717f8c27081989995b88c08ff7e4",10462,"2026-02-26T12:42:43+0900"
"/Users/yutaro/project-profit-ios/docs/accounting-audit-todo.md","00_todo/accounting-audit-todo.md","68bc9a975119b09f0429694b1ba12dfb54f36953388b62216988aa8acf3de66a",27124,"2026-02-26T02:09:39+0900"
"/Users/yutaro/project-profit-ios/docs/OCRマルチエージェント運用.md","00_todo/OCRマルチエージェント運用.md","d0cf8136a6958c8ad366c9ad13917523e2b18c45071779fb02366dc8e334d690",1476,"2026-02-24T02:06:51+0900"
"/Users/yutaro/project-profit-ios/docs/testing/etax-unit-lane.md","00_todo/etax-unit-lane.md","86a0d4470384d7cbe2acce6595e7a056d46b21a53714a14e2a710cb39dcf0825",1950,"2026-02-26T02:09:10+0900"
"/Users/yutaro/project-profit-ios/docs/testing/etax-regression-checklist.md","00_todo/etax-regression-checklist.md","c7229d000d5209a6aba01a388aff329743bb8926fefc2b3494d0512b3c0aba54",1277,"2026-02-26T02:09:19+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A01.md","01_reports/A01.md","59ca1479fc5331d80008fe1febde35e590835c8548d4bf5345814014b996b318",356,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A02.md","01_reports/A02.md","fd841b73936b9b531c8b048d45c4de5dcaf36e50d6b36b51c3ecacb1ae7f02d5",376,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A03.md","01_reports/A03.md","c2299f551cf41d2d13ac542d509de09134cd58df736b9725b8ccea5a00e05950",392,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A04.md","01_reports/A04.md","a9bc41c145b08050610d77855ea174fdcc44e9489dbcdf6fb8d1d757a72beb94",436,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A05.md","01_reports/A05.md","3bd4dd51633a18ced7257212dd1244604b113f8f2701bc34f5cf5c2d80569980",482,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A06.md","01_reports/A06.md","7e1d1050a72e0f71793ec40dbdd34fad0b97cb94d8f4a2933bf1668303b897c6",313,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A07.md","01_reports/A07.md","4f44ab9d807ae5360999460381781bbd6a5318b02e434a97e76bfc0f526b57b0",386,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A08.md","01_reports/A08.md","50d72da8c9bd458f29a51616ff312e389f1b249d077a44397662285cc843a2c2",483,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A09.md","01_reports/A09.md","3dc24d743d1e3b676afd012929b566c3bb6524937d9f0fe5c99b01aa0080391e",392,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A10.md","01_reports/A10.md","48ad85b4424d3bc02a418d225f37dbaa9c93e7f9284f14252c09b8ee80becca1",282,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A11.md","01_reports/A11.md","6f16e921e3c3bf2bb9a20f740b7db86826ae9c07975d747b2896cdce3d25e489",309,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A12.md","01_reports/A12.md","b038bcc195630b578d43cfc78151f52d06fb7faa69d8a772538477da7170c82c",385,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A13.md","01_reports/A13.md","d80e7c36dc8aafe4d38d89f2bb496184686667f9ef557eed6536cfcc97a7e256",467,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A14.md","01_reports/A14.md","1cc3821bb4378baffc7c5768d1dc9ce17a3d2e9907f7dd72c936f48db96572ae",330,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A15.md","01_reports/A15.md","3401efd2d416d561581a51b128960bd7c3d5e8673547c1ae1bb5b0cd4f5a0fca",337,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A16.md","01_reports/A16.md","84657d1c573d66ae20a2570f11813baae7677da273027b01895c0df7af78d143",372,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A17.md","01_reports/A17.md","2b768f0c32156a05b7df7e3600716dc5743cba8fc0054a72178f7da4abdb74e8",360,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A18.md","01_reports/A18.md","5f2eafd99d42ae2aafb3d8813a421f9db9674d24e0edbba5aaaaafb8c8c58e59",221,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A19.md","01_reports/A19.md","fc4114269a656c506f24fe2fde638d9b5d0ddc83f15eb2b3fe93d3185a2884ef",225,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A20.md","01_reports/A20.md","aa662308c9d2d3fa07ba3781932596a90f98c378615dadb804084f66fbc019a0",214,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A21.md","01_reports/A21.md","2fdb27c748fdbe2257e4a55ac05b9ee48f0f97d625fe45120788d7fdd811ad20",232,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A22.md","01_reports/A22.md","a264242c313ce4608ab064dabb11c669d0f1efe8bc18ad2c71b371896a12b5a3",219,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A23.md","01_reports/A23.md","32fcdc869377352038b00867344bae1bbc1ca7fb5fe9b21890eb5e386df1f4f3",226,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A24.md","01_reports/A24.md","6c0bb47d244e6062612ecbb7b0c22ebf91870f7fc4e3957d994df209b2d07f3b",218,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A25.md","01_reports/A25.md","68f75292251b18ad2e88fe2e7acfb68dae21dc7bc052dffd34fbc1379c844e8d",224,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A26.md","01_reports/A26.md","657a1f31f4ea3786029cb61f35ab9c28bbbce2a6774e8e38317db0ccea2fcb32",243,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A27.md","01_reports/A27.md","721b9c0ba7726642acd335f9f60cfb691e051dd030b6e901279a21af5fb204b6",216,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A28.md","01_reports/A28.md","a39e30e007935b19cb1d785dc334e906633d3d6a7eb858aafa71e5d98f2778ed",362,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A29.md","01_reports/A29.md","632fd88c4a3b634f1d1c64ea7d6e11a57e136c127112f8e20c2703722d8958ff",383,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/reports/A30.md","01_reports/A30.md","b6d07dfd728f106fa461c961aec066e02682866481c695c875ae5cdff6b82ded",417,"2026-02-26T12:41:51+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/evidence-index.csv","02_evidence/evidence-index.csv","0bf3fd6b1b2b9e706f9572e8fb4278655055897684202e5f5ab11ec4e031b24a",6426,"2026-02-26T12:43:06+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/extracted/api_spec.txt","02_evidence/extracted/api_spec.txt","380f8236263a228eefddaf7417cb8d1dc7a0b8190e3555d5f4c7e75903fbfab2",15832,"2026-02-26T12:39:20+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/extracted/csv_module_interface_spec.txt","02_evidence/extracted/csv_module_interface_spec.txt","cb42693e1f01db62f999db43cad4a6bc9a123102f12d3d86a687d59f6ac69565",39476,"2026-02-26T12:39:09+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/extracted/csv_module_spec.txt","02_evidence/extracted/csv_module_spec.txt","e36817a640df174387dace02e6f0e6c1f710309f52659fdd010c0c13bbf5e534",20204,"2026-02-26T12:39:09+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/extracted/e_signature_spec.txt","02_evidence/extracted/e_signature_spec.txt","2aa92d63dbea9742cea80ecd45395eb3493183f65b4f65be70422ec045efc5db",8518,"2026-02-26T12:39:08+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/extracted/send_receive_module_spec.txt","02_evidence/extracted/send_receive_module_spec.txt","159b4a7df71d41569d43da15c646a909e1c0b2bab72207f02b40963eb6dc129d",31610,"2026-02-26T12:39:20+0900"
"/Users/yutaro/project-profit-ios/docs/etaxall-audit/agent-roster.md","03_meta/agent-roster.md","e6778db1d5f05cafa0da46f90c2c4aaf726e0ccc2876d1411a960cc4a11033a0",1170,"2026-02-26T12:40:57+0900"
"/Users/yutaro/project-profit-ios/e-taxall/確定申告仕様書/Project Profit iOS：複式簿記コア導入・完全仕様書（外注実装用）.md","04_specs/Project Profit iOS：複式簿記コア導入・完全仕様書（外注実装用）.md","07e0f00929498533a043b16954521791d547288d0cef1de12d9eccae106108de",32268,"2026-02-24T16:25:36+0900"
"/Users/yutaro/project-profit-ios/e-taxall/確定申告仕様書/仕様書：e‑Tax「決算書・収支内訳書」データ作成.md","04_specs/仕様書：e‑Tax「決算書・収支内訳書」データ作成.md","c09364d0aa7e5d4218b26b8d88be184ea3a03aeadebe45aeb8585267a5a07522",19515,"2026-02-24T16:25:31+0900"
"/Users/yutaro/project-profit-ios/e-taxall/確定申告仕様書/損益計算書_勘定科目一覧.md","04_specs/損益計算書_勘定科目一覧.md","00c1b9c52980165e916f5dfbdf38ef42598c3c9818e23fa1f167db2821d5d76c",12528,"2026-02-24T16:25:20+0900"
"/Users/yutaro/project-profit-ios/e-taxall/確定申告仕様書/貸借対照表_勘定科目一覧.md","04_specs/貸借対照表_勘定科目一覧.md","b6cd4bf7263827ca9db97d72ea8c4dfcf1145fc54ebda09448ea94dfb74cc0a3",5084,"2026-02-24T16:25:26+0900"
